letter,ID,P1,P2
AV,23629011.abf,5.28,28.47
AV,23629011.abf,38.6,9.31
AV,23629011.abf,-3.36,5.18
AV,23629011.abf,5.9,8.34
AV,23629011.abf,7.99,5.55
AV,23629011.abf,39.59,8.46
AV,23629011.abf,13.64,39.89
AV,23629011.abf,24.18,7.09
AV,23629011.abf,17.44,17.44
AV,23629011.abf,15.41,17.24
AV,23629011.abf,16.61,8.06
AV,23629011.abf,11.52,11.52
AV,23629011.abf,9.59,7.76
AV,23629011.abf,3.47,20.56
AV,23629011.abf,25.62,4.87
AV,23629011.abf,23.59,6.5
AV,23629011.abf,11.7,4.99
AV,23629011.abf,5.9,15.06
AV,23629011.abf,4.79,22.49
AV,23629011.abf,3.97,15.56
AV,23629011.abf,17.99,13.11
AV,23629011.abf,11.46,23.67
AV,23629011.abf,7.4,11.06
AV,23629011.abf,8.12,5.07
AV,23629011.abf,34.23,15.92
AV,23629011.abf,4.26,7.93
AV,23629011.abf,9.92,12.36
AV,23629011.abf,6.25,24.56
AV,23629011.abf,6.56,30.98
AV,23629011.abf,16.66,8.72
AV,23629011.abf,24.7,10.66
AV,23629011.abf,13.77,5.22
AV,23629011.abf,16.05,25.81
AV,23629011.abf,6.2,4.98
AV,23629011.abf,6.39,14.94
AV,23629011.abf,14.72,18.99
AV,23629011.abf,9.9,15.4
AV,23629011.abf,28.78,18.41
AV,23629011.abf,7.74,8.96
AV,23629011.abf,27.96,4.76
AV,23629011.abf,8.59,6.15
AV,23629011.abf,10.97,3.04
AV,23629011.abf,5.73,4.51
AV,23629011.abf,12.87,11.64
AV,23629011.abf,16.73,6.35
AV,23629011.abf,6.77,9.21
AV,23629011.abf,4.03,5.86
AV,23629011.abf,7.58,4.53
AV,23629011.abf,14.54,15.76
AV,23629011.abf,15.55,10.05
AV,23629011.abf,7.65,7.04
AV,23629011.abf,5.33,7.16
AV,23629011.abf,13.32,11.49
AV,23629011.abf,10.72,6.45
AV,23629011.abf,12.69,15.74
AV,23629011.abf,20.52,14.42
AV,23629011.abf,6.41,24.72
AV,23629011.abf,5.2,5.81
AV,23629011.abf,9.82,6.16
AV,23629011.abf,18.72,8.34
AV,23629011.abf,9.99,5.72
AV,23629011.abf,23.2,14.05
AV,23629011.abf,13.04,7.55
AV,23629011.abf,15.48,20.98
AV,23629011.abf,4.09,7.14
AV,23629011.abf,12.96,25.17
AV,23629011.abf,6.42,14.96
AV,23629011.abf,9.85,28.16
AV,23629011.abf,4.34,9.22
AV,23629011.abf,5.21,10.09
AV,23629011.abf,11.71,5
AV,23629011.abf,13.54,8.66
AV,23629011.abf,15.93,28.14
AV,23629011.abf,8.26,5.82
AV,23629011.abf,26.14,4.17
AV,23629011.abf,14.25,9.36
AV,23629011.abf,16.36,14.53
AV,23629011.abf,6.9,5.68
AV,23629011.abf,4.53,26.5
AV,23629011.abf,17.68,12.8
AV,23629011.abf,11.89,7.61
AV,23629011.abf,10.16,26.03
AV,23629011.abf,5.07,13.61
AV,23629011.abf,5.15,6.98
AV,23629011.abf,11.62,4.3
AV,23629011.abf,5.46,6.07
AV,23629011.abf,4.77,12.09
AV,23629011.abf,4.91,12.24
AV,23629011.abf,11.14,21.51
AV,23629011.abf,3.76,8.64
AV,23629011.abf,4.3,15.28
AV,23629011.abf,4.99,11.09
AV,23629011.abf,11.69,3.76
AV,23629011.abf,2.99,3.6
AV,23629011.abf,12.49,21.64
AV,23629011.abf,14.42,6.48
AV,23629011.abf,4.85,10.34
AV,23629011.abf,29.27,9.74
AV,23629011.abf,12.62,2.85
AV,23629011.abf,4.18,9.67
AV,23629011.abf,10.16,5.28
AV,23629011.abf,18.41,3.15
AV,23629011.abf,14.87,11.82
AV,23629011.abf,9.73,15.22
AV,23629011.abf,20.49,3.4
AV,23629011.abf,4.63,4.02
AV,23629011.abf,4.26,3.65
AV,23629011.abf,11.26,9.43
AV,23629011.abf,5.05,8.71
AV,23629011.abf,27.5,6.14
AV,23629011.abf,5.08,24.61
