"letter","synapses","sex","treatment","time","ID","P1","P2","X","Y","age","animal","category","cell","r_a"
"AO","Glutamate","Male","Control",0,"23623002",-17.3709259,-78.40608215,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.083333333,"23623002",-24.14101028,-58.93104935,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.166666667,"23623002",-35.60116577,-60.01522827,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.25,"23623002",-15.82095528,-32.30044556,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.333333333,"23623002",-53.91171265,-26.44589043,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.416666667,"23623002",-45.47922134,-74.77610016,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.5,"23623002",-28.13238907,-69.6362915,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.583333333,"23623002",-27.8111515,-61.9908371,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.666666667,"23623002",-60.00719452,-52.68297577,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.75,"23623002",-46.89266968,-60.32040405,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.833333333,"23623002",-47.00510025,-67.14670563,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",0.916666667,"23623002",-40.35548019,-72.09376526,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1,"23623002",-31.10383606,-64.673172,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.083333333,"23623002",-64.86591339,-51.43818283,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.166666667,"23623002",-27.88342857,-24.83167076,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.25,"23623002",-11.46015358,-28.54999733,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.333333333,"23623002",-54.53812408,-62.4726944,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.416666667,"23623002",-37.18325806,-44.50747681,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.5,"23623002",-17.34683418,-20.398592,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.583333333,"23623002",-61.63747787,-22.57497597,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.666666667,"23623002",-28.74274063,-63.53277969,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.75,"23623002",-52.62675858,-41.03007889,NA,NA,39,17,2,"17.1.1",NA
"AO","Glutamate","Male","Control",1.833333333,"23623002",-23.28973007,-44.0416832,NA,NA,39,17,2,"17.1.1",NA
